Number,Summary,Score,Network
06lTquWPAOVJexhZonvQCa,"Hi there, I'm Joanna. I'm JD F. I'm Rebecca. I'm Erin and you're listening to see and be seen I cast this is a show where we'll be discussing the creative like not just as individuals but also as a community will also talk about what it's like to express ourselves and share stories through our respective creative Fields. Also the time you're here from us, but will also be featuring other artists on this podcast as well. If you're interested in listening to this podcast, be sure to check us out every second Sunday of the month on Spotify Apple podcast or whatever you listen to. Just enjoy. Hi there, I'm Joanna. I'm JD F. I'm Rebecca. I'm Erin and you're listening to see and be seen I cast this is a show where we'll be discussing the creative like not just as individuals but also as a community will also talk about what it's like to express ourselves and share stories through our respective creative Fields. Also the time you're here from us, but will also be featuring other artists on this podcast as well. If you're interested in listening to this podcast, be sure to check us out every second Sunday of the month on Spotify Apple podcast or whatever you listen to. Just enjoy.",2,onemin
07y0yNc4rF8JOVDEAX7zT2,"Hello and welcome to episode 3 of the Privacy right podcast. I'm Noel boivin senior Communications officer with the office of the information and privacy commissioner for British Columbia. And this is part of our privacy right educational series privacy, right? Aims to connect British Columbia's personal information protection act or HIPAA to the everyday work of the more than 1 million organizations that collect use or Close personal information in this province. We want organizations to think more about the sheer volume of personal information. They collect and process everyday their legal obligations to safeguarded under pipa and how our office can help. It's about getting privacy right to build and maintain Trust. Today, we're discussing a topic that hits home literally for the estimated 1.5 million people who live in strata housing in this province strata corporations are legal entities whose members are the owners of the individual strata lots and common areas these corporations and their agents are considered organizations under pipa. Now while Pippa does not cover individuals actions as private citizens,...",1,onemin
00v0W2K3d8o68maX79QK2v,"Thanks for pulling that up. Let's go welcome back to this edition of days and days. I'm your host Peyton Brown joined in studio to my right is called Snodgrass Portobellos across the way from East Kate Simmons. What's up guys and gals to his right is Omar. Hey guys and Owens right is cow, Bloomfield. How's it going? There? It is and behind me is roommate cow with if you can hear him. I don't know if you guys can hear him. And then tonight we welcome on a very very special guest. He is an OG Natty gang since day one members today one pod. Listener. Probably our number one fan. He is our first fan to actually have our merch which we will talk about later in the pub. It's type of Corti. Let's get it done boys. How you feeling? I'm feeling awesome. I can't do this. I can't believe it's taken me this Long Beach on the problem, you know, but it's gonna be worth it. It's gonna be hella where so me everybody here except for roommate cow have been at gwad absolutely deleting marks Kate. I am bowing. Everybody was and Budweiser's I forgot Cal and Colin have been drinking Budweiser. Both was hers. I think Cordy stumped us all he had the most marks I think tonight at 8:00. Yeah, they probably dropped kid. I don't know how I got it, but I got five.",0,onemin
081FoKeWRf8nzJi6MQFKRl,"Welcome to episode 1 of version final a podcast about where ideas come from. Today's guest is Xavier Tio Dave is the executive creative director at cnx leading a team of talented creative designers and producers. He's worked at agencies all over the world starting at Ogilvy and Singapore before working at modernista in Boston and anomaly in New York and then joining Conde Nast. I hear he's also a fine artist electronic music Aficionado and an all-around good guy and he'll be our co-host from time to time throughout version final here are a couple highlights from our conversation. We talked about how they became interested in advertising when he was young. And suddenly this is guy who came into the scene and we all know who he is, which is Michael Jordan and I was really young. I was a teen I was looking at this guy. Who's that? Oh my God. This guy's amazing. I'll just love the way he played I love his attitude and he has all this dope shoes that was banned from the NBA and they don't like really became a big fan of this brand go 90 and all I wanted to do was to wear Nike shoes to play basketball. He talked about how the industry has evolved from when he started as a college student in Singapore below people are worried about where it's going to go...",2,onemin
08RS6NQIGy9O2KyKVlCzdU,"All business all business bodybuilding with Joe Bentley just in Compton and Dominic Cardone Starts Now. What's going on guys? Welcome to all business bodybuilding. My name is Luke. I'm here with Joe Justin and Dom episode 24. How's it going guys? I'm doing good, man. Trying to wake up. Crazy, yeah, I had some good British food your head bangers and mash for the first time. What does that I need to know this. Luke said, I was Justin I'm here good good. I'm actually leaving here in will Saturday. So five days, whatever it is fire five days. So when you arrived in Vegas what this one Saturday this Saturday fly out in the morning. See you next week then. Are you going to be in Vegas I believe for the Arnold butterfly from I'll be there I come back. I'm going to tell. But yeah, I'll be there this Saturday one-way trip. How are you? How are you? How are you getting there? Yes, so pretty much. I want to simplify the whole thing. I was like why am I going to drive across the country in a truck with my dogs on the back just for a bed couches my clothes and some stuff like that and then I looked at shipping it and flying and 460...",1,onemin
00x6bXv5JPNTCDteN5JGlP,"Hey there, welcome to the Mind Meets Body podcast a space dedicated to Rio help conversations with a dose of self-compassion curiosity and imperfection. Join me Maria Sosa of holistically Grace as we take a deep dive into redefining and exploring Health through the mind and body. This week's guest needs no introduction. She is an author Wellness consultant and self-care Queen. She teaches workshops and Retreats centered on helping others find their voice through storytelling poetry and narrative writing rooted in trust without shame. She is the magic behind words for Wanderer loving my language neon soul and my all-time favorite the today I affirm Journal which I have to be honest has been the only Journal I have ever been able to stick to and incorporate into a daily Wellness routine. Alexandra or Alex L. Welcome to the show. Hi Maria. Thank you so much for having me. It's great to be here. Thank you for being here. I have to get something out of the way before we get started. I am a huge fan. I love all the things that you share how you speak? And I remember...",2,onemin
00y3rxCkHBrbY1xwqojEGR,"Hey guys, couple things before we go into this podcast. I really actually want you to tweet me your feedback on how you like weekly be in podcast form. So please hit me up on Twitter Gary Vee and just put hashtag garyvee podcast with the W in there as well so I can see your feedback on weekly B7. Please hit me up with some feedback on Twitter on how you like listening to the Vlog and if you're not watching the Vlog, it's youtube.com slash garyvee with double. He's then please enjoy this day Gary Vee audio experience everybody really excited about this interview so far. Everybody's watching on LinkedIn. Let's put in your phone numbers. We're going to call somebody in LinkedIn live put in your phone number and your question and then teams going to pick which ones but I have the super handsome wildly accomplished Daymond John in the buildings and I want I'm right next to milli vanilli's. Are you like that? Right? I'm excited about that. The Ring Power shift, when's this out? Watch 10th, March 10, it's February 24th of recordings. Probably out in a couple days. So do you want us to launch the you have any preference of launching? We'll figure that out after talking it out demons. Got a new book It's called Power shift.",1,onemin
00yoUSA2yh7eAY8t45JM91,"Thank you for checking at tea-time unfilter with your girl lovely tea. Guess what I have some piping hot tea for you guys. Have you ever thought about starting your very own podcast? What now? You can with this really cool app called anchor FM best part of this app is that it's totally free. There's a creation tool that allows you to record and edit your podcast right from your phone or your computer. Anchor will also distribute your podcast for you. So it can be heard on Spotify Apple podcast and many more you can make money from your podcast with no minimum listenership. It's everything. You need in a podcast in one place. So make sure you guys check it out because anchor FM is what type in hat. Get ready, you're tuned in to Tea Time unfiltered with your girl lovely teeth bringing you the hottest trending topics on social media to stay connected instagram.com. / lovely. Teeth 2002. Hey you guys thank you guys so much for joining me and welcome to another episode of tea time on filter with your girl lovely tea and I hope you guys are doing good today. So I am back with another podcast here. So I know...",0,onemin
01D58jn9qXZ01y8pRQX0KZ,"What's up, y'all? It's the host of from Mount Olympus your boys do see Triple do see you want to shoot podcasts. You want to talk about some things you want to tell some stories. You want to crack jokes and be a comedian. You just want to broadcast some stuff download anchor podcast to your mobile device is free and it's easy to use. You can record while you're at home. You can record on the go. Some of you you travel for work and you travel far distances, you can record while on the road you don't have to do it at home and it's easy to use you just recorded episode you publish it. It uploads all the platforms that you want to use it to and boom. You've got a podcast in your voices out there. So download anchor podcasts. Like I said, it's free and it's easy to use. Hi, everybody would it do is you boys do see Triple do cak answer. Whatever the hell you I know me as I'm back again. I told you I was going to be a Savage Friday. I've got the owner of the lot and football Savages Marvin Richards. I've...",0,onemin
01VLfoxXkwAXtuYGTQYrsT,"I'm Maria Menounos and you're tuned in to AfterBuzz TV the ESPN of TV talk now. It was the buzz guys 90-day newsweekly. I so excited new video new gossip. I cannot wait to just Dive Right into yeah. It's like a super show. We have so much new to get through so much gossip II just they stayed with me girl. Stay busy when one of your Oseland and tree and to my immediate left. Hey guys, I'm Ashley Bowden. Welcome back guys and Daddy love having you here. So let's just kind of Dive Right In. Okay, let's start with AB pulp. Well, let's do Paul. Yeah. So you guys prayers up. First of all for Paul's mom who was reportedly in the hospital Paul went on Instagram and shared a clip of his 11-month. I always Set up 11 month old son pieri. He was actually bringing some light and some cheer to his grandma AKA Paul's mom as she tickled...",2,onemin
1E23TJE5PZuN8hFIbiOkie,"Hiya. Thank you very much. Thank you. I'm a modern man, man for the Millennium digital and smoke-free a diversified Multicultural postmodern deconstructionist, politically anatomically and ecologically incorrect. I've been up length and downloaded have been inputted now. Sourced and all the upside of downsizing another downside of upgrading. I'm a high-tech lowlife a cutting-edge state-of-the-art bicoastal multitasker and I can give you a gigabyte in a nanosecond. I'm New Wave but I'm old school and my inner child is Outward Bound. I'm hot-wired heat-seeking warm-hearted cool customer voice activated and biodegradable. I had to face some of data basement databases in cyberspace. So I'm interactive I'm hyperactive and from time to time. I'm radioactive behind the eight ball ahead of the curve riding the wave dodging the bullet pushing the envelope. I'm on point on task on message and off drugs. I got no need for Coke and speed I got nowhere. Judah Benjamin Purge, I'm in the Moment On The Edge over the top but under the radar a high concept low profile medium-range ballistic missionary a StreetWise smart bomb a Top Gun bottom-feeder iweb palletize at El Pollo.",1,onemin
1EPOaWpjdUB7lB589jjTx3,"Are you ready? Are you going to do stuff you want me to introduce you? Okay, what's up guys? My name is Andre. You're listening to this. You already know who I am. I'm in the car with Logan. So guys, how's it going? Okay, so Logan's my little from McMurray, but we're not going to mention McMurray the rest of this podcast because we we went to tank. It's all about the only school we went to but we are currently driving. back to Abilene for alumni weekend Don't ask either of us why we had really don't have any other excuse. Yeah. I don't know why we going. All right guys before we jump into this episode. I'm going to tell you real quick about anchor if you haven't heard of Banker. It's literally the easiest way to make a podcast because everything you need is in one place. There's creation tools that allow you to record and edit your podcast. So right from your phone or your computer and then anchor distribute your podcast for you, so you can be heard on Spotify Apple podcast and all those other platforms out there without even having to do anything you're also able to make money from your podcast regardless of your listenership. So it doesn't matter if you have just your mom listening or the State of Texas you can still be heard and get paid. I know you're sitting here wondering. All right, where is it twists and I'm here to let you know that there's literally no twist because on top of all of this it's free. So if you're interested in starting your own...",1,onemin
1EUY0YMsUCReAi78xtVKeU,"Hey, I'm Jin and I love horror movie. I might yeah, I'm dead excited. I also love horror movies and we really like to torture our friends High cuz he hates horror movie that I do and that's why they call me the horror version. That's the only reason we call them that I have not no other reasons that all you know, I know whatever whatever every week we take him through the Encyclopedia of horror the good the bad the ridiculously Jack Frost's and then we make fun of it more or less or explain its Depth of feminism. Yeah, exactly. That's what I do. That's my thing. And I'm the funny one our episodes drop on Monday. So check us out. consequence podcast Network welcome to another edition of Kyle Meredith with the interview series presented by W FP k @ W FP K dot org consequence of sounds and the consequence podcast Network. Thank you so much for checking out the series today. Thanks again to all the subscribers who keep up with all the episodes. We do produce a new interviews every Monday Wednesday and Friday. I always love hearing from you all. Thank you for the comments that you leave in the various places, whether that's in the podcast land like on iTunes and apple podcast...",1,onemin
1EcBqy8tM3TYInm1k8Fdbm,"Hey everybody, its Josh Rutledge your co-host for a fierce Cape paranormal podcast. Thank you so much for listening. If you'd like to support us more. Please head over to our website dear skate podcast.com there you click on store and browse some pearly awesome t-shirts and maybe pick a couple up or even go to our patreon page and see what how you can support us monthly. We love bringing you awesome content just as much As you like listening to it enjoy the show. Hello. I'm so glad you could join us. I hope you brought your walking to hide under the spooky cruise going to discuss things and events from other Realms ghosts Cryptids aliens. Be sure to hold the tube like it extra tight as the boys take you deep into the fierce Gale Fierce Gale fears. Welcome back ladies and gentlemen to another exciting Adventure here on fear skate paranormal podcast. I am your host Stephen Gearhart, and I am joined as usual...",1,onemin
1EwZ9ewnlXBQ3jH5ImlY3o,"You are now listening to the life and football podcast check out the new website life and football.com. Once again, the website is life and football.com. Thanks for listening Williams. Plus it is Heath roles, and it's Yes, sir. That was eight and are behind with a big catch right there for Wyoming that was in a bowl game against Georgia State. This kid is amazing. He has a great story. I'm telling y'all hand down Wyoming is one of the top programs in the country. I love what they have going on over there. I love what they are building top-notch facility. Nice uniform beautiful field man War Memorial Stadium is going to be amazing this football season y'all stick around for the great interview. That's coming up Nick. We ate it ever heart from Wyoming football. Welcome to the life of football podcast baby. I'm your host my feet and District Ojos: more, you know, we love and life and enjoying football Wyoming in the building...",0,onemin
1F4hsSqn87iEttR0rA4tRS,"Hi everyone, and welcome back to another episode of the self-mastery podcast. I want to thank you for your support and listening to each episode and I hope you enjoy this one. If you haven't heard about anchor its easiest way to make podcast. It's totally free that's creation tools that allow you to record and edit your podcast right from your phone or computer anchor will distribute your podcast for you. So you can be heard on Spotify up a podcast Google podcast and many more you can also make money from your podcast. It's everything you need to make a successful podcast download the free. God will go to Anchor FM to get started at every touch point of you doing business with your customers give them 10 times the value that they expect will comes to mind is my book The Five AM Club. I spent four years on the five am Club. I rewrote it over 50 times every line. I wanted it to be the absolute best. I have to give to the world I wanted. Every model from the 20-20-20 formula the morning routine from 5 to 6 in the book or the Twin cycles of leap performance that explain...",1,onemin
1G02hUDmyMFk1aKts60uPC,"Hi guys, welcome to love growth and freedom with Adrienne white death. This podcast is all about life and all things that comes with it. This is a safe space to be vulnerable to talk about love inspired growth and encourage Rita join me in rediscovered life complexities that make things worthwhile. Hey guys, welcome to love gold and freedom with Adrian Dwight that so this podcast will be all about all kinds of love. The love we have for ourselves hashtag self love and the love we have for friends and the love we have for a significant other and all the things that could mean love for anyone. So let's not forget anything from dogs parents families friends, whatever. We want love to be and you would also be talking about any kind of growth for me a career to a physical state to your Total emotional state because we all know that life can throw a things that we're not ready for we're not prepared for and he overlooked how much or how far we've come from this the way we started it the way we started the year. We always look back and think the things and be like, wow, I've made it this I...",1,onemin
1GOXInXdJrluLuLywx5NzP,"Before we kick this episode off. I want to take a second to talk about Brandon bills. They gave us a great opportunity. And honestly, we could have done it without you guys. So thanks for everything and like my new front tooth. We also have a new promo code its roots 15 use it to purchase any apparel from Brandon bills and help your favorite podcast. Now, let's get into this episode. It's like it's not fucking funny. Are you gonna fucking fix it? Hi guys, welcome back to Roots podcast. We're starting. I love Taking Chances 45 seconds. Thank you. Little Ruth. Please stay strong. Big baby, I don't know what I'm gonna do with my hands. It doesn't matter you can do whatever you want with your hands figure it out. What the hell you want me to do because I haven't been involved in any of So we can inspect it doesn't matter that just like you said it's like a five minute portion of what's going to happen right now. You think that uh-huh and you're gonna make me sad it was gonna do this weekend. Well, we started our festivities are bender on Thursday with that the line night. I mean, I see no - yeah, you are screaming. Why not the door on Snapchat? Okay. Well, that's when we record is its when you had Kilmer on yeah. Yeah guys I fuck. That was a big one. Yeah. Yeah,...",0,onemin
1Gcwzel68ribYC6kga7Eib,"This is Ottoman and I'm going to talk about your Energies. Most of the time we do not acknowledge the presence of energy. In and around us. In fact, even this physical body which appears to be in physical form is essentially energy because if you break down all your tissues into tiny tiny cells and tighten cells into Small little Adam and Adam in two electrons. What are they? They are Energies. They are a form of energy your body is in energy. Your thoughts are also an energy. Your emotions are Energies. So we are bunch of energy beings. Who are immersed in an energy pool? We have energy all around us and this energy can never be destroyed. It can only be transformed and this is not something I am saying Einstein and many other scientists have validated a time and again, So if we are the energy forms, it's important that at least we recognize the presence...",2,onemin
1GjzWFb5mT9lXCgSety6VH,"Which role is a dad athlete and author of Finding Ultra. He also hosts the long-running super interesting and widely popular Rich Roll podcast. We talked about extension crises, alcoholism and ambition the value of solitude dating my sister. wisdom and what art is thanks so much for agreeing to talk to me. I'm so happy that you reached out to me Heidi. It's absolutely a delight to see you. It's been many years. So I've been looking forward to this for a very long time. So thank you for having me. My pleasure. I was thinking on the way here about how I ended up coming here today and on one level. Yeah, maybe it goes back 25 years, but most recently. I think I told you I agreed to have ran stegen be my coach for a talk. And the first night. I met him he sat down and he said I just came from this amazing conference. The keynote speaker was so inspiring. He's an ultra-marathoner.",1,onemin
1Gs0FfKfblOH4nFbIi0yIL,The audible of the best in Bitcoin. This is the crypto Cana me. If you guys have not seen it yet Gigi just recently dropped an article on his medium page and it's another great one about around the concept of Bitcoin as a living organism. So let's go ahead and jump into the read and then we'll talk a little bit about it afterward. Bitcoins habitats how Bitcoin is surviving and thriving Between Worlds as I have argued previously Bitcoin is a living organism. But where does this organism live exactly as with many questions in the world of Bitcoin exact answers are hard to come by living things have fuzzy edges beginnings and endings are hard to pinpoint differentiation is more or less arbitrary and what was classified as a wolf today might evolve to be a dog tomorrow. Bitcoin has no rigid specification. No absolute finality. No fixed development team. No final security guarantees.,1,onemin
1Hh5YXYGj7pEs9jyhYAX9c,"What's up, guys? Welcome back to even splits. We got the normal crew with us today. We got a great show. Look at Marathon trials review plenty of stuff to preview. But first we're going to do an interview with Donovan Brazier and it's not in our normal spot. We had to kind of do it on the fly, but bear with us and it's pretty good interview. So yeah. Hey guys, this is even Sports podcast. We're on with Donovan Brazier. Right now. We're at track me where the track office not really supposed to be got some audience over here. Yeah, first we're podcast was an audience who serve people Jump Right In we're almost done bridge right now. So, how you doing Donovan? Yeah, we had some difficulties with you know, calling and stuff. So you were um, you said you were at the airport yesterday. Yeah. Where were you? The devs are for stuck there for a little while. And they said that was Dallas how station just got no one to our camp outlet for the past two months. Oh really? Is that for a vegan up for the Olympic trials? And uh, yes. Tribal open, you know, California before but I might find out something very competitive, you know. Yeah, it's kind of a tune-up. Yes. Yeah. All right. So so keeping it light but our first my first real question for...",0,onemin
1HmN1BDPrSiIdYEWTX84xz,"Do you love horror? Do you love torturing your friends with horror movies? Of course you do. That's why you're listening. Maybe you've even thought about starting your own horror podcast, whatever kind of insanity you're looking to send out into the world. There's a new all-in-one platform for you. It's called anchor it's the easiest way to make a podcast and it's totally free anchor has all the creative tools. You'll need to record and edit your podcast right from your phone or computer and even better Anchor will Distribute that podcast for you that way it gets on Apple or Spotify or everywhere else. You can find podcasts. It's everything you need to make a podcast all in one place. So what are you waiting for download the free anchor app or go to Anchor FM to get started nerds? Consequence podcast Network this episode brought to you by Nick be is my fun fact about Nick P. Oh Nick be told me that pants is underwear and Britain it is Italy. Absolutely. Yeah, I think underwear is like this is going to send to loons racy, but nickers nickers Nick Nick Nick it all. It's the new me please if underwear is called Pants.",1,onemin
1IGWQ2uSXK2vhwZ7wVYLBp,"Welcome back to another episode of daily Fortnight your daily podcast about Fortnight. I'm your host Mikey AKA Mike. Daddy AKA magnificant Mikey. So today we have TNT Tina is available those challenges are now available for you to start doing so that you can work towards unlocking T and Tina. So that's a little bit or a little piece of news. Of course. We will kind of, you know, start going over the list of challenges when we get to that part of the sold, but before we get then more news just basically about a bunch of status things that were fixed. So we've released and maintenance maintenance patch on PlayStation 4 and Xbox one that resolves this issue and just as a stability this was for all sorry. I ripped this party yesterday that was for the return to Lobby item shop and Report...",1,onemin
1IV366QieNfHHrWKechXo0,"Hey, I'm Al McGuire. I'm Sarah Griffin. And this is juvenilia podcaster. We talked to an interesting person at a bit of pop culture was important when they were young Our Guest today is the assistant news editor of the journal body. I wanted to host of get around to it for Barry. Hello, welcome to the show. Thanks for watching. I'm really glad you think I'm interesting like Seriously start with a compliment their jazz singer and way more exciting than I am in real life. Well, I'm super excited but you're not talked about yet because it was super important to me as well introduce this person. So yes, I'm going to talk about Jeff Buckley or IP because he meant a lot to me when I was a teenager and still means a lot to me and I had a feeling you might mean a lot to you as well and that there be a good conversation about him and his music. Like because like his music kind of still abides and people I suppose they're probably still discovering him. But because it was when I was getting into music, I was getting it stuff on tape and things like that. I just thought there's so much Rich stuff that you're thinking about music in the 90s and things like that to me so I can teach a Turkish. I think so tell us about like I'm guessing because we're pretty much they made yeah, I think so. Yeah, so I'm guessing 91. We're very yeah. You care about will die. And I don't know what these are the corner...",1,onemin
1IdIzNXBCtUTHLHCtq0z8F,"Hey and welcome back. Hello, everybody. Hello? Hello? Hi Ryan. Hi Curtis. How are you? I'm good. How are you? I'm so good. So so good. It's been it's been a pretty eventful like week, I guess since we last recorded. Yeah, and we recorded this coming episode. This guests really really early. We did we did. This is actually hints to everybody at our behind-the-scenes process, but this little Snippets recorded after your episode. Halftime, so we actually did have our guests on a little bit earlier this week. Yeah, when he was here because of the way that you know, this Gus could make it around but you know, we're recording the intro after we record the actual episode. Typically. We like to record the intro this this snippet part without the guest even being around. Yeah. So it just the way it works. So usually we recorded before the guest shows up this last step the set this guess we didn't have time to yeah. But anyways, how was how was your week bit how how things been for you? You so it's been a hectic one Mike. Yeah. Yeah, I think it's just been kind of a weird transition period from like a really...",0,onemin
1JdBQNxOOXManwRuQkCMdl,"Welcome To Girls Club a space where you'll experience realness vulnerability and empowerment to thrive in their relationships around you. I'm Angie white and I'm Shelby Diaz and you grams 7 twinsies active students in the space of friendships a less common type of relationship that's discussed. And we're here to share all that. We've learned and still learning so grab a cold brew and join us at the table. This is the girls go podcast. So Shelby nangi here and I wanted to give a little shout out to Miss Perry who's listening every week and I wanted to say hello. I love you. Thanks for changing my diapers when I was little and I have a shout-out to to Perry the Platypus just wish that you never seen. What is that is on Disney Channel and here's some for us. Yes. Oh, yeah, Hey, where's Perry? He's like a spy. What was your favorite cartoon growing up favorite cartoon at what age like toddler or like middle school or like I guess whatever you want to share cart favorite cartoon. I really liked Hey Arnold. Okay. I liked Rocket Power. I liked SpongeBob. You want...",1,onemin
